References:	 ['ElMiron', 'Mota', 'Ust_Ishim', 'Kostenki14', 'GoyetQ116-1', 'Vestonice16', 'MA1', 'Villabruna', 'EHG', 'CHG', 'Natufian', 'Greece_N', 'Levant_N']
target	feasible	Anatolia_N	Armenia_ChL	Steppe_MLBA	Tunisia_N	Megiddo_MLBA_original	prob	nested-p	nested_p_with_Anatolia_N	nested_p_with_Armenia_ChL	nested_p_with_Steppe_MLBA	nested_p_with_Tunisia_N	nested_p_with_Megiddo_MLBA_original	valid
SelMan_T_7	False	0	0	0.252	-0.039	0.786	0.000247052	4.1430219657301315e-05	1.0678703389443989e-05	0.11471742075788216	0	0	0	False
SelMan_T_7	True	0.528	0.472	0	0	0	0.0346663	0.05015098620132863	0	0	0.10180735530970653	0.08471705849925981	1.0	True
SelMan_T_7	True	0.715	0	0.283	0	0	0.0127253	0.012093741965730764	0	0.016007955842725075	0	0.009049660097739665	0.00259837069486768	False
SelMan_T_7	True	0.891	0	0	0.109	0	4.84415e-12	7.238654120556021e-14	0	1.27675647831893e-14	8.881784197001252e-15	0	0.21239882075948802	False
SelMan_T_7	False	-7.891	0	0	0	8.891	0	0.0	0	0.0	0.0	0.0	0	False
SelMan_T_7	False	0	1.330	-0.330	0	0	2.46141e-11	4.4209080840573733e-13	9.592326932761353e-14	0	0	1.0	1.0	False
SelMan_T_7	True	0	0.914	0	0.086	0	2.23888e-14	2.220446049250313e-16	0.0	0	1.0	0	2.1457613463837788e-11	False
SelMan_T_7	True	0	0.488	0	0	0.512	2.10347e-06	1.9956859365066748e-07	3.2569863883669115e-07	0	1.0	0.11092451350542265	0	True
SelMan_T_7	True	0	0	0.657	0.343	0	0	0.0	0.0	0.0	0	0	0.0	False
SelMan_T_7	True	0	0	0.258	0	0.742	0.000306151	8.807228137142076e-05	1.0007441489268132e-05	1.0	0	0.27532955628725153	0	True
SelMan_T_7	False	0	0	0	-0.062	1.062	8.01773e-16	0.0	4.761267727859675e-06	5.043743200872086e-13	1.6653345369377348e-15	0	0	False
SelMan_T_7	True	1.000	0	0	0	0	2.89419e-14	4.440892098500626e-16	0	0.0	2.220446049250313e-16	0.00019569232510707746	1.0	False
